,time, temperature,humidity
289,45041,32.7,86
290,45142,31.9,86
291,45244,32.5,88
292,45346,33.0,86
293,45448,32.3,88
294,45550,31.0,85
295,45652,32.5,88
296,45753,30.9,88
297,45855,31.2,87
298,45957,31.4,85
299,46059,34.3,86
300,46160,31.4,87
301,46261,33.5,85
302,46363,31.0,88
303,46465,29.1,86
304,46567,31.2,88
305,46669,31.0,88
306,46770,30.7,86
307,46871,31.2,88
308,46973,30.9,85
309,47075,30.7,88
310,47177,31.0,87
311,47278,30.7,88
312,47380,31.4,85
313,47482,30.9,86
314,47584,31.0,88
315,47686,32.3,86
316,47788,31.5,88
317,47890,31.0,86
318,47991,31.4,86
319,48093,32.2,87
320,48195,31.5,87
321,48297,30.9,85
322,48399,31.2,87
323,48501,31.0,87
324,48603,31.7,88
325,48705,31.5,85
326,48807,32.7,87
327,48909,34.3,86
328,49011,31.7,87
329,49113,32.0,86
330,49215,31.7,86
331,49317,33.3,85
332,49419,31.0,88
333,49520,31.4,85
334,49622,31.0,85
335,49724,32.0,86
336,49826,31.0,86
337,49928,30.4,88
338,50030,31.7,85
339,50132,31.4,85
340,50233,31.7,88
341,50335,31.2,87
342,50436,31.0,85
343,50538,31.2,85
344,50639,31.7,88
345,50740,31.4,88
346,50842,31.2,88
347,50944,32.0,86
348,51045,33.1,86
349,51147,31.4,88
350,51248,30.1,87
351,51350,31.4,87
352,51452,31.5,87
353,51554,31.0,88
354,51656,29.4,86
355,51757,31.9,87
356,51859,31.5,87
357,51961,30.9,85
358,52063,31.0,88
359,52165,30.9,85
360,52266,32.3,87
361,52368,31.7,87
362,52470,31.7,87
363,52572,31.9,88
364,52674,31.0,86
365,52776,31.4,85
366,52877,31.5,88
367,52979,28.6,87
368,53081,32.3,87
369,53183,31.5,88
370,53285,32.7,88
371,53386,32.3,85
372,53487,31.5,88
373,53589,31.5,85
374,53691,31.2,85
375,53793,31.5,85
376,53894,31.4,88
377,53996,17.2,87
378,54098,31.4,86
379,54200,33.5,85
380,54302,31.4,85
381,54404,31.4,87
382,54505,32.0,87
383,54607,32.7,87
384,54709,32.7,88
385,54811,31.7,88
386,54913,32.3,87
387,55015,31.0,88
388,55117,31.7,88
389,55219,31.5,88
390,55321,31.9,85
391,55423,31.2,85
392,55524,31.0,87
393,55625,31.7,86
394,55727,31.4,87
395,55829,32.2,87
396,55931,32.8,85
397,56033,31.2,87
398,56135,31.5,86
399,56236,31.4,88
400,56338,32.5,88
401,56440,32.8,85
402,56542,32.0,87
403,56644,30.7,86
404,56745,31.2,88
405,56847,31.0,88
406,56949,31.7,87
407,57051,31.9,87
408,57152,30.9,87
409,57253,31.0,85
410,57354,31.5,88
411,57456,31.2,86
412,57557,31.2,86
413,57658,30.9,85
414,57759,31.2,88
415,57861,31.5,86
416,57963,31.2,87
417,58065,31.4,87
418,58166,31.0,88
419,58268,30.6,87
420,58370,31.4,87
421,58472,33.5,85
422,58574,31.4,86
423,58675,31.0,88
424,58777,31.0,88
425,58879,31.7,88
426,58981,31.4,87
427,59083,30.7,86
428,59184,31.7,86
429,59285,31.2,86
430,59387,30.9,88
431,59489,31.7,87
432,59591,32.0,85
433,59693,31.4,88
434,59794,32.7,85
435,59896,31.0,88
436,59998,32.5,88
437,60100,31.7,87
438,60202,31.7,88
439,60304,30.9,88
440,60406,32.0,86
441,60508,32.7,88
442,60610,31.7,86
443,60712,32.0,86
444,60813,32.3,87
445,60914,30.9,87
446,61016,31.0,88
447,61118,32.0,86
448,61220,31.4,88
449,61322,31.0,88
450,61424,32.2,85
451,61526,31.9,88
452,61628,31.7,85
453,61730,30.9,88
454,61832,31.4,87
455,61934,30.9,85
456,62035,31.4,88
457,62137,31.0,88
458,62239,31.0,85
459,62341,31.2,88
460,62443,30.7,85
461,62544,30.4,87
462,62645,31.4,86
463,62747,32.0,87
464,62849,31.4,86
465,62951,30.9,87
466,63053,20.4,87
467,63154,29.0,88
468,63256,32.0,87
469,63358,31.7,86
470,63460,31.4,87
471,63562,32.0,87
472,63663,33.1,88
473,63764,31.4,85
474,63866,31.7,87
475,63968,31.4,86
476,64070,32.3,87
477,64171,33.3,85
478,64272,31.2,86
479,64374,32.5,87
480,64476,31.7,86
481,64578,31.5,88
482,64680,31.4,85
483,64781,32.0,87
484,64883,30.9,86
485,64985,31.0,85
486,65087,30.9,88
487,65189,31.0,85
488,65290,31.4,88
489,65392,30.9,86
490,65494,31.2,88
